"Comment","Description","Designator","Footprint","LibRef","Pins","Quantity","PartNumber","url",
"1uf","desc","C1,","C_0402_1005Metric","libref","2","1","","",
"2.2nf","desc","C13,C12,","C_0402_1005Metric","libref","2","2","","",
"2.2uf","desc","C16,C14,","C_0402_1005Metric","libref","2","2","","",
"10uf","desc","C5,C4,C6,C3,C11,","C_0402_1005Metric","libref","2","5","","",
"0.1uf","desc","C7,C2,C15,C10,C9,C8,","C_0402_1005Metric","libref","2","6","","",
"LED-red","desc","D1,","D_0402_1005Metric","libref","2","1","","",
"LED-green","desc","D4,D3,D2,","D_0402_1005Metric","libref","2","3","","",
"Conn_01x03_Female","desc","J2,","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal","libref","5","1","","",
"Conn_01x01_Female","desc","J7,","largepoint","libref","1","1","","",
"0","desc","R14,","R_0805_2012Metric","libref","2","1","","",
"1k","desc","R16,R15,R8,R6,","R_0402_1005Metric","libref","2","4","","",
"470","desc","R19,R12,R13,R11,R10,R9,","R_0402_1005Metric","libref","2","6","","",
"5.1k","desc","R2,R1,","R_0402_1005Metric","libref","2","2","","",
"10k","desc","R4,R3,R18,R17,","R_0402_1005Metric","libref","2","4","","",
"0.4","desc","R5,","R_0402_1005Metric","libref","2","1","","",
"1.2k","desc","R7,","R_0402_1005Metric","libref","2","1","","",
"SW_Push","desc","SW2,","bt-342","libref","2","1","","",
"ESP-32S","desc","U1,","ESP32-WROOM-32","libref","39","1","","",
"pcm5102a","desc","U2,","TSSOP-20_4.4x6.5mm_P0.65mm","libref","20","1","","",
"tp4056","desc","U3,","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","libref","13","1","","",
"AMS1117-3.3","desc","U4,","SOT-223-3_TabPin2","libref","4","1","","",
"Conn_01x01_Female","desc","J5,J4,","largepoint","libref","1","2","","",
"Through Hole Items ",
"AudioJack4","desc","J1,","Jack_3.5mm_PJ320D_Horizontal","libref","6","1","","",
"USB_C_Receptacle_USB2.0","desc","J6,","USB_C_Receptacle_HRO_TYPE-C-31-M-12","libref","22","1","","",
"Conn_01x06_Female","desc","J8,","PinHeader_1x06_P2.00mm_Vertical","libref","6","1","","",
"SW_DPDT_x2","desc","SW1,","SW_SPDT_PCM12","libref","9","1","","",
