"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment",
"C1","C_0402_1005Metric","20.9mm","26.9mm","20.9mm","26.9mm","20.9mm","27.38mm","T","270","1uf",
"C10","C_0402_1005Metric","17.1mm","22.9mm","17.1mm","22.9mm","16.62mm","22.9mm","T","0","0.1uf",
"C11","C_0402_1005Metric","6.0mm","16.2mm","6.0mm","16.2mm","6.48mm","16.2mm","T","180","10uf",
"C12","C_0402_1005Metric","2.3mm","20.2mm","2.3mm","20.2mm","2.3mm","20.68mm","T","270","2.2nf",
"C13","C_0402_1005Metric","2.3mm","18.12mm","2.3mm","18.12mm","2.3mm","17.64mm","T","90","2.2nf",
"C14","C_0402_1005Metric","6.4mm","21.5mm","6.4mm","21.5mm","6.4mm","21.98mm","T","270","2.2uf",
"C15","C_0402_1005Metric","17.1mm","21.5mm","17.1mm","21.5mm","17.58mm","21.5mm","T","180","0.1uf",
"C16","C_0402_1005Metric","5.3mm","21.5mm","5.3mm","21.5mm","5.3mm","21.02mm","T","90","2.2uf",
"C2","C_0402_1005Metric","21.9mm","4.1mm","21.9mm","4.1mm","22.38mm","4.1mm","T","180","0.1uf",
"C3","C_0402_1005Metric","15.8mm","10.3mm","15.8mm","10.3mm","15.32mm","10.3mm","T","0","10uf",
"C4","C_0402_1005Metric","32.2mm","8.8mm","32.2mm","8.8mm","31.72mm","8.8mm","T","0","10uf",
"C5","C_0402_1005Metric","21.9mm","9.9mm","21.9mm","9.9mm","22.38mm","9.9mm","T","180","10uf",
"C6","C_0402_1005Metric","21.9mm","3.0mm","21.9mm","3.0mm","22.38mm","3.0mm","T","180","10uf",
"C7","C_0402_1005Metric","13.8mm","10.3mm","13.8mm","10.3mm","14.28mm","10.3mm","T","180","0.1uf",
"C8","C_0402_1005Metric","6.0mm","17.3mm","6.0mm","17.3mm","6.48mm","17.3mm","T","180","0.1uf",
"C9","C_0402_1005Metric","5.9mm","23.0mm","5.9mm","23.0mm","6.38mm","23.0mm","T","180","0.1uf",
"D1","D_0402_1005Metric","21.9mm","6.6mm","21.9mm","6.6mm","22.385mm","6.6mm","T","180","LED-red",
"D2","D_0402_1005Metric","21.9mm","8.8mm","21.9mm","8.8mm","22.385mm","8.8mm","T","180","LED-green",
"D3","D_0402_1005Metric","13.5mm","26.9mm","13.5mm","26.9mm","13.5mm","27.385mm","T","270","LED-green",
"D4","D_0402_1005Metric","13.5mm","29.1mm","13.5mm","29.1mm","13.5mm","28.615mm","T","90","LED-green",
"J2","JST_GH_SM03B-GHS-TB_1x03-1MP_P1.25mm_Horizontal","4.1mm","27.6mm","4.1mm","27.6mm","5.35mm","25.75mm","T","180","Conn_01x03_Female",
"J7","largepoint","13.1mm","13.7mm","13.1mm","13.7mm","13.1mm","13.7mm","T","0","Conn_01x01_Female",
"R1","R_0402_1005Metric","32.2mm","5.5mm","32.2mm","5.5mm","31.69mm","5.5mm","T","0","5.1k",
"R10","R_0402_1005Metric","17.1mm","18.6mm","17.1mm","18.6mm","16.59mm","18.6mm","T","0","470",
"R11","R_0402_1005Metric","17.1mm","19.7mm","17.1mm","19.7mm","17.61mm","19.7mm","T","180","470",
"R12","R_0402_1005Metric","4.0mm","19.7mm","4.0mm","19.7mm","4.51mm","19.7mm","T","180","470",
"R13","R_0402_1005Metric","4.0mm","18.6mm","4.0mm","18.6mm","4.51mm","18.6mm","T","180","470",
"R14","R_0805_2012Metric","10.2mm","24.7mm","10.2mm","24.7mm","11.1125mm","24.7mm","T","180","0",
"R15","R_0402_1005Metric","12.4mm","26.9mm","12.4mm","26.9mm","12.4mm","26.39mm","T","90","1k",
"R16","R_0402_1005Metric","12.4mm","29.1mm","12.4mm","29.1mm","12.4mm","29.61mm","T","270","1k",
"R17","R_0402_1005Metric","17.8mm","10.3mm","17.8mm","10.3mm","17.29mm","10.3mm","T","0","10k",
"R18","R_0402_1005Metric","19.9mm","10.3mm","19.9mm","10.3mm","19.39mm","10.3mm","T","0","10k",
"R19","R_0402_1005Metric","17.1mm","16.4mm","17.1mm","16.4mm","17.61mm","16.4mm","T","180","470",
"R2","R_0402_1005Metric","32.2mm","7.7mm","32.2mm","7.7mm","32.71mm","7.7mm","T","180","5.1k",
"R3","R_0402_1005Metric","20.9mm","28.9mm","20.9mm","28.9mm","20.9mm","29.41mm","T","270","10k",
"R4","R_0402_1005Metric","19.9mm","11.4mm","19.9mm","11.4mm","20.41mm","11.4mm","T","180","10k",
"R5","R_0402_1005Metric","32.2mm","9.9mm","32.2mm","9.9mm","31.69mm","9.9mm","T","0","0.4",
"R6","R_0402_1005Metric","21.9mm","5.5mm","21.9mm","5.5mm","21.39mm","5.5mm","T","0","1k",
"R7","R_0402_1005Metric","32.2mm","6.6mm","32.2mm","6.6mm","31.69mm","6.6mm","T","0","1.2k",
"R8","R_0402_1005Metric","21.9mm","7.7mm","21.9mm","7.7mm","22.41mm","7.7mm","T","180","1k",
"R9","R_0402_1005Metric","17.1mm","17.5mm","17.1mm","17.5mm","17.61mm","17.5mm","T","180","470",
"SW2","bt-342","17.3mm","27.9mm","17.3mm","27.9mm","15.1mm","27.9mm","T","0","SW_Push",
"U1","ESP32-WROOM-32","32.1mm","21.3mm","32.1mm","21.3mm","23.6mm","29.555mm","T","0","ESP-32S",
"U2","TSSOP-20_4.4x6.5mm_P0.65mm","11.5mm","19.8mm","11.5mm","19.8mm","8.6375mm","22.725mm","T","0","pcm5102a",
"U3","SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm","27.0mm","7.7mm","27.0mm","7.7mm","29.475mm","5.795mm","T","180","tp4056",
"U4","SOT-223-3_TabPin2","17.2mm","5.3mm","17.2mm","5.3mm","14.9mm","2.15mm","T","90","AMS1117-3.3",
"J4","largepoint","38.9mm","3.3mm","38.9mm","3.3mm","38.9mm","3.3mm","B","270","Conn_01x01_Female",
"J5","largepoint","38.9mm","7.5mm","38.9mm","7.5mm","38.9mm","7.5mm","B","270","Conn_01x01_Female",
"Through Hole Items ",
"J1","Jack_3.5mm_PJ320D_Horizontal","5.1mm","8.3mm","5.1mm","8.3mm","5.1mm","10.525mm","T","90","AudioJack4",
"J6","USB_C_Receptacle_HRO_TYPE-C-31-M-12","39.4mm","5.4mm","39.4mm","5.4mm","35.355mm","8.65mm","T","90","USB_C_Receptacle_USB2.0",
"J8","PinHeader_1x06_P2.00mm_Vertical","27.1mm","28.7mm","27.1mm","28.7mm","27.1mm","28.7mm","T","90","Conn_01x06_Female",
"SW1","SW_SPDT_PCM12","28.7mm","2.1mm","28.7mm","2.1mm","26.45mm","3.53mm","T","0","SW_DPDT_x2",
